,skill_consistency,skill_audacity,skill_unpredictability,skill_clutch,skill_chase_iq,skill_pace_killer,skill_spin_killer,skill_hard_hitting
A Ashish Reddy,0.9693399533791784,0.22704081632653061,2.002744684803954,148.8372093023256,140.74074074074073,149.27536231884056,126.41509433962264,10.918367346938776
A Badoni,0.8779733301930424,0.22027027027027027,1.962945436121264,162.22222222222223,119.92337164750957,135.23206751054852,121.0762331838565,9.08108108108108
A Chandila,0.0,0.0,0.0,57.14285714285714,0.0,57.14285714285714,0.0,0.0
A Chopra,0.7575861989978281,0.10666666666666667,1.4151714949279801,0.0,66.66666666666666,81.3953488372093,68.42105263157895,0.0
A Choudhary,0.0,0.125,1.5166422780956523,126.3157894736842,125.0,127.77777777777777,100.0,7.000000000000001
A Dananjaya,0.0,0.0,0.0,80.0,0.0,80.0,0.0,0.0
A Flintoff,0.0,0.14035087719298245,1.8032292162514811,157.14285714285714,93.02325581395348,127.58620689655173,88.46153846153845,7.017543859649122
A Kamboj,0.854757143479521,0.13333333333333333,1.7967916319816364,107.6923076923077,200.0,157.14285714285714,50.0,0.0
A Kumble,0.6607539570972313,0.061224489795918366,1.3895536523228575,70.73170731707317,72.72727272727273,88.46153846153845,55.55555555555556,0.0
A Manohar,0.702596765220117,0.23251028806584362,1.7913882689462324,170.58823529411765,90.32258064516128,137.79527559055117,97.0873786407767,9.547325102880658
A Mhatre,1.017823021538266,1.183206106870229,2.043360075758657,0.0,188.0,143.75,130.43478260869566,17.86259541984733
A Mishra,0.6454718247600666,0.125,1.6032720053414404,107.23981900452489,89.39393939393939,91.78082191780823,80.55555555555556,3.954545454545455
A Mithun,0.8582467742085675,0.21153846153846154,1.9291417256406969,118.18181818181819,123.80952380952381,115.38461538461537,146.15384615384613,10.0
A Mukund,0.0,0.043478260869565216,1.5416892248400094,0.0,0.0,81.25,125.0,0.0
A Nehra,0.28527813079841613,0.07142857142857142,1.3781794805032725,60.0,79.54545454545455,53.191489361702125,140.0,3.492063492063492
A Nortje,0.5277005750667548,0.13725490196078433,1.6902087135410875,104.54545454545455,86.48648648648648,102.77777777777777,75.0,0.0
A Raghuvanshi,1.1128906424458458,0.24079754601226994,1.8906016701078492,148.57142857142858,127.27272727272727,148.38709677419354,125.19685039370079,10.552147239263803
A Singh,0.42922560713564767,0.0,0.7219280948873623,25.0,16.666666666666664,33.33333333333333,0.0,0.0
A Symonds,0.9871851889744796,0.2176696542893726,1.9456731708270532,155.19480519480518,113.91585760517799,122.61580381471389,123.9193083573487,9.039692701664533
A Tomar,0.0,0.125,0.0,0.0,50.0,50.0,0.0,0.0
A Uniyal,0.0,0.0,0.0,57.14285714285714,0.0,75.0,33.33333333333333,0.0
A Zampa,0.6765355977452703,0.04,1.1974776241409462,83.33333333333334,50.0,83.33333333333334,56.25,0.0
AA Bilakhia,0.9082006155331558,0.056818181818181816,1.606608487255468,121.42857142857142,85.1063829787234,87.8048780487805,55.26315789473685,0.0
AA Chavan,0.0,0.18181818181818182,1.4949188482339508,137.5,200.0,137.5,33.33333333333333,0.0
